Comment,Description,Designator,Footprint,LibRef,Quantity

"0R005 HOXLR2817-5W-5MR-1%","Res Metal Strip 2818 0.005 Ohm 1% 5W ±200ppm/°C Pad SMD Automotive T/R","R501","RESC7146X09N","CMP-009-00241-2","1"
"0.1uF X7R 100V 0805","Ceramic Capacitor, Multilayer, Ceramic, 100V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C400","CAPC2013X94X50ML20T25","CMP-001-00130-1","1"
"4.7k 0603 1%","RES SMD 4.7K OHM 1% 1/10W 0603","R10","RESC1608-IPC-LL","CMP-009-00205-1","1"
"7.15k 0603 0.1%","Res Thin Film 0603 7.15K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R","R402","RESC1608X55X30NL20T20","CMP-009-00235-1","1"
"22.1k 0603 0.1%","RES SMD 22.1KOHM 0.1% 1/10W 0603","R403","RESC1608-IPC-LL","CMP-009-00207-3","1"
"43045-0428","PCB Header Temperature range: max. 105 °C Housing Material: Thermoplastic Poles: 4 Rated current: 5 A","J500","FP-43045-0428-MFG","CMP-002-00096-1","1"
"10155435-00011LF","16 Position 5 A USB Right Angle Receptacle Connector","J300","AMPHENOL_10155435-00011LF","CMP-243-000000-3","1"
"5040500691","CONN WIRE TO BOARD RA 6POS","J3","MOLEX_5040500691","CMP-253-000000-2","1"
"C0603C560J5GACTU","Multilayer Ceramic Capacitor, 56 pF, 50 V, ± 5%, C0G (NP0), 0603 [1608 Metric]","C408","FP-C0603C-CF-IPC_B","CMP-001-00126-1","1"
"CAP 0.47uF 1210 50V X7R","Multilayer Ceramic Capacitor, 0.47 uF, 50 V, ± 10%, X7R, 1210 [3225 Metric]","C406","CAPC1210(3225)230_M","CMP-001-00128-1","1"
"CAP 10uF 1210 63V X7R","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 10uF 63volts *Derate Voltage/Temp","C407","FP-GRM32E-0_2-0_3-MFG","CMP-001-00119-1","1"
"ESP32-S3-MINI-1-N8","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount","U200","XCVR_ESP32-S3-MINI-1-N8","CMP-247-000000-1","1"
"INA228AIDGST","Power Supply Support Circuit, Adjustable, 1 Channel, PDSO10","U500","FP-DGS0010A-IPC_C","CMP-015-00018-1","1"
"KK-254-4","KK 254 Vertical Header, with Friction Lock, 4 Circuits, PC Tail Length: 4.00mm","J201","KK-254-47053-3000","CMP-133-0002-3","1"
"LMR51610XFDBVR","SIMPLE SWITCHER® power converter with 4.5V-to-65V 1A synchronous buck and 25µA quiescent current 6-SOT-23 -40 to 150","U400","SOT95P280X145-6N","CMP-019-00077-1","1"
"M02PTH","","J200","1X02","CMP-166-0010-1","1"
"SRN4018-4R7M","Ind Power Semi-Shielded Wirewound 4.7uH 20% 100KHz Ferrite 1.9A 1515 T/R","L401","FP-SRN4018-MFG","CMP-006-00036-2","1"
"SRR1260-680M","Ind Power Shielded Wirewound 68uH 20% 100KHz 22Q-Factor Ferrite 2.1A T/R","L400","SRR1260-680M-Footprint-1","CMP-006-00034-1","1"
"TPS54202DDCR","4.5V to 28V Input, 2A Output, EMI Friendly Synchronous Step-Down Converter 6-SOT-23-THIN -40 to 125","U401","FP-DDC0006A-IPC_C","CMP-019-00081-1","1"
"USBLC6-4SC6","ESD Suppressor 15KV 6-Pin SOT-23 T/R - Product that comes on tape, but is not reeled","D300","FP-SOT23-6L-MFG","CMP-004-00040-1","1"
"WS2812B2020","LED; SMD; 2020; RGB; 2x2x0.84mm; 3.7Ã·5.3V; Lens: transparent; 2kHz","D200","LED_WS2812B2020","CMP-004-00042-1","1"
"100k 0603 1%","Res Thick Film 1.6 x 0.8 mm 100K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R","R400, R401","RESC1608-IPC-LL","CMP-009-00203-1","2"
"100R 0603 1%","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 100ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603","R500, R502","FP-RC0603-0_55-MFG","CMP-009-00246-1","2"
"504050-1091","Conn Wire to Board HDR 10 POS 1.5mm Solder RA SMD Pico-Lock™ T/R","J1, J4","FP-504050-1091-MFG","CMP-002-00088-1","2"
"AC0402FR-075K1L","SMD Chip Resistor, 5.1 kOhm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose","R300, R301","FP-AC0402-IPC_A","CMP-009-00234-1","2"
"AO3400A","","Q200, Q201","SOT23-3","CMP-094-0000-1","2"
"CAP 22uF 25V 1210 X7R","1210 22 uF 25 V ±20% Tolerance X7R Multilayer Ceramic Chip Capacitor","C403, C409","FP-1210-L_3_2_0_3-W_2_5_0-MFG","CMP-001-00125-1","2"
"CAP 56uF 80V Poly","Conductive Polymer Aluminum Solid Capacitor 56uF 20% 80V Surface Mount T/R","C5, C6","FP-OS-CON-SMT-F12-MFG","CMP-001-00120-1","2"
"LED0603","","LED200, LED201","LED-0603","CMP-130-0000-1","2"
"PTS526SK15SMTR2LFS","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R","BOOT200, RST200","FP-PTS526SK15SMTR2LFS-MFG","CMP-011-00015-1","2"
"SS14","","D400, D401","SMA","CMP-080-0002-2","2"
"1K 0603 1%","Res Thick Film 0603 1K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R","R205, R206, R230","RESC1608-IPC-ML","CMP-009-00193-3","3"
"CAP 4.7uF 50V X7R 1210","CAP CER 4.7UF 50V X7R 1210","C202, C402, C405, C410","CAPC3225X20N","CMP-001-00083-3","4"
