Altium Designer Pick and Place Locations
C:\Users\atrus\Dropbox\elec\pr\blueacro\led\ledbrick_8ch\rv_ledbrick_8ch\Project Outputs for rv_ledbrick_8ch\Pick Place\Pick Place for rv_ledbrick_8ch.csv

========================================================================================================================
File Design Information:

Date:       06/10/24
Time:       18:11
Revision:   bb7eb3ebf5f06eb28be7938cc1e052ae727449ed
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D200","WS2812B2020","TopLayer","LED_WS2812B2020","66.8020","2.2860","0","LED; SMD; 2020; RGB; 2x2x0.84mm; 3.7Ã·5.3V; Lens: transparent; 2kHz"
"R230","1K 0603 1%","TopLayer","RESC1608-IPC-ML","67.8180","32.0040","0","Res Thick Film 0603 1K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"
"Q201","AO3400A","TopLayer","SOT23-3","74.9376","62.7968","0",""
"R10","4.7k 0603 1%","TopLayer","RESC1608-IPC-LL","8.8900","56.1340","90","RES SMD 4.7K OHM 1% 1/10W 0603"
"R229","10R 0603 1%","TopLayer","RESC1608-IPC-NL","41.4020","58.4200","0","YAGEO (PHYCOMP) - RC0603FR-0710RL - RES, THICK FILM, 10R, 1%, 0.1W, 0603"
"R228","10R 0603 1%","TopLayer","RESC1608-IPC-NL","41.4020","59.6900","0","YAGEO (PHYCOMP) - RC0603FR-0710RL - RES, THICK FILM, 10R, 1%, 0.1W, 0603"
"R227","10K 0603 1%","TopLayer","RESC1608-IPC-ML","44.1960","58.4200","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R226","10K 0603 1%","TopLayer","RESC1608-IPC-ML","44.1960","59.6900","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R225","10K 0603 1%","TopLayer","RESC1608-IPC-NL","79.0000","74.0000","180","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"J200","M02PTH","TopLayer","1X02","82.5000","77.2300","90",""
"R224","10R 0603 1%","TopLayer","RESC1608-IPC-NL","68.0720","60.9600","0","YAGEO (PHYCOMP) - RC0603FR-0710RL - RES, THICK FILM, 10R, 1%, 0.1W, 0603"
"R223","10K 0603 1%","TopLayer","RESC1608-IPC-ML","68.0720","62.4840","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R222","10K 0603 1%","TopLayer","RESC1608-IPC-ML","71.0000","62.5000","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R221","10K 0603 1%","TopLayer","RESC1608-IPC-ML","71.0000","61.0000","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"Q200","AO3400A","TopLayer","SOT23-3","67.9412","40.5076","90",""
"U500","INA228AIDGST","TopLayer","FP-DGS0010A-IPC_C","76.4540","30.2260","270","Power Supply Support Circuit, Adjustable, 1 Channel, PDSO10"
