Altium Designer Pick and Place Locations
C:\Users\atrus\Dropbox\elec\pr\blueacro\led\ledbrick_plus_led\ledbrick_plus_led\Project Outputs for ledbrick_plus_led\Pick Place\Pick Place for ledbrick_plus_led.csv

========================================================================================================================
File Design Information:

Date:       14/10/25
Time:       16:53
Revision:   55724f7e393428e54835342a32f830bb0f2fab79
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","MCP9808","TopLayer","MCHP-MSOP-MS8_M","96.0000","18.0000","90","Temp Sensor Digital Serial (2-Wire, I2C) 8-Pin MSOP Tube"
"C3","CAP 0.1uF 50V X7R 0603","TopLayer","FP-CL10-IPC_B","69.0000","18.0000","270","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R"
"C2","CAP 0.1uF 50V X7R 0603","TopLayer","FP-CL10-IPC_B","100.0000","18.0000","270","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R"
"C1","CAP 0.1uF 50V X7R 0603","TopLayer","FP-CL10-IPC_B","88.0000","20.0000","90","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R"
"R2","0R 1206","TopLayer","FP-RC1206-IPC_B","131.0000","21.0000","180","Res Jumper Thick Film 1206 0 Ohm 5% 1/4W Molded SMD Paper T/R"
"U2","DS18B20U+T&R","TopLayer","MAXM-U8+1_N","71.9750","17.9000","90","Temp Sensor Digital Serial (1-Wire) 8-Pin uMAX T/R"
"U1","MCP9808T-E/MC","TopLayer","MCHP-DFN-MC8_V","91.0000","18.0000","90","Temp Sensor Digital Serial (2-Wire, I2C) 8-Pin DFN EP T/R"
"LED13","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","146.0000","28.0000","90","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED12","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","146.0000","36.0000","90","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED11","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","146.0000","43.5000","90","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED10","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","146.0000","50.0000","90","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED9","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","146.0000","58.0000","90","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED8","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","120.0000","67.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED7","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","80.0000","60.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED6","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","40.0000","67.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED5","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","14.0000","58.0750","270","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED4","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","14.0000","49.9250","270","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED3","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","14.0000","43.5000","270","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED2","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","14.0000","36.0750","270","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED1","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","14.0000","28.0000","270","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED72","L1C1-39","TopLayer","LUXEON_C_DATASHEET","112.0000","36.0000","180",""
"LED71","L1C1-39","TopLayer","LUXEON_C_DATASHEET","102.0000","36.0000","180",""
"LED70","L1C1-DRD","TopLayer","LUXEON_C_DATASHEET","91.0000","36.0000","180",""
"LED69","L1C1-PCA","TopLayer","LUXEON_C_DATASHEET","83.0000","41.0000","180",""
